r,g,b,a
0.0,0.0,0.0,3.0
1.0,1.0,1.0,3.0
1.0,1.0,1.0,3.0
1.0,1.0,1.0,3.0
1.0,1.0,1.0,3.0
1.0,1.0,1.0,3.0
1.0,1.0,1.0,3.0
0.9019608,0.9019608,1.0,3.0
0.7058824,0.7058824,1.0,3.0
0.47058824,0.47058824,0.93333334,3.0
0.3137255,0.3137255,0.87058824,3.0
0.23529412,0.23529412,0.7137255,3.0
0.078431375,0.078431375,0.63529414,3.0
0.98039216,0.9490196,0.32156864,3.0
0.0,0.7254902,0.0,3.0
1.0,0.0,0.0,3.0
1.0,0.0,0.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.039215688,1.0,3.0
0.5019608,0.1254902,0.1254902,3.0
0.0,0.5568628,0.7607843,3.0
0.0,0.6666667,0.8235294,3.0
0.0,0.7764706,0.8745098,3.0
0.0,0.8901961,0.9372549,3.0
0.0,1.0,1.0,3.0
0.0,0.9372549,0.8901961,3.0
0.0,0.8745098,0.7764706,3.0
0.0,0.8235294,0.6666667,3.0
0.0,0.7607843,0.5568628,3.0
0.98039216,0.9490196,0.32156864,3.0
0.98039216,0.9490196,0.32156864,3.0
0.98039216,0.9490196,0.32156864,3.0
0.98039216,0.9490196,0.32156864,3.0
0.3137255,0.23529412,0.19607843,3.0
0.43137255,0.34509805,0.19607843,3.0
0.78431374,0.78431374,0.78431374,3.0
0.33333334,0.6509804,0.0,3.0
0.44313726,0.7137255,0.0,3.0
0.5568628,0.7607843,0.0,3.0
0.6666667,0.8235294,0.0,3.0
0.7764706,0.8745098,0.0,3.0
0.8901961,0.9372549,0.0,3.0
1.0,1.0,0.0,3.0
0.9372549,0.8901961,0.0,3.0
0.8745098,0.7764706,0.0,3.0
0.8235294,0.6666667,0.0,3.0
0.7607843,0.5568628,0.0,3.0
0.7137255,0.44313726,0.0,3.0
0.6509804,0.33333334,0.0,3.0
0.6039216,0.22352941,0.0,3.0
0.5411765,0.10980392,0.0,3.0
0.49019608,0.0,0.0,3.0
0.63529414,0.0,0.0,3.0
0.7607843,0.0,0.0,3.0
0.85882354,0.0,0.0,3.0
1.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
