r,g,b,a
0.0,0.0,0.13725491,3.0
0.007843138,0.011764706,0.15294118,3.0
0.015686275,0.023529412,0.16862746,3.0
0.023529412,0.03529412,0.18431373,3.0
0.03137255,0.047058824,0.2,3.0
0.039215688,0.05882353,0.21568628,3.0
0.047058824,0.07058824,0.23137255,3.0
0.05490196,0.08235294,0.24705882,3.0
0.0627451,0.09411765,0.2627451,3.0
0.07058824,0.105882354,0.2784314,3.0
0.078431375,0.11764706,0.29411766,3.0
0.08627451,0.12941177,0.30980393,3.0
0.09411765,0.14117648,0.3254902,3.0
0.101960786,0.15294118,0.34117648,3.0
0.10980392,0.16470589,0.35686275,3.0
0.11764706,0.1764706,0.37254903,3.0
0.1254902,0.1882353,0.3882353,3.0
0.13333334,0.2,0.40392157,3.0
0.14117648,0.21176471,0.41960785,3.0
0.14901961,0.22352941,0.43529412,3.0
0.15686275,0.23529412,0.4509804,3.0
0.16470589,0.24705882,0.46666667,3.0
0.17254902,0.25882354,0.48235294,3.0
0.18039216,0.27058825,0.49803922,3.0
0.1882353,0.28235295,0.5137255,3.0
0.19607843,0.29411766,0.5294118,3.0
0.20392157,0.30588236,0.54509807,3.0
0.21176471,0.31764707,0.56078434,3.0
0.21960784,0.32941177,0.5764706,3.0
0.22745098,0.34117648,0.5921569,3.0
0.23529412,0.3529412,0.60784316,3.0
0.24313726,0.3647059,0.62352943,3.0
0.2509804,0.3764706,0.6392157,3.0
0.25882354,0.3882353,0.654902,3.0
0.26666668,0.4,0.67058825,3.0
0.27450982,0.4117647,0.6862745,3.0
0.28235295,0.42352942,0.7019608,3.0
0.2901961,0.43529412,0.7176471,3.0
0.29803923,0.44705883,0.73333335,3.0
0.30588236,0.45882353,0.7490196,3.0
0.3137255,0.47058824,0.7647059,3.0
0.32156864,0.48235294,0.78039217,3.0
0.32941177,0.49411765,0.79607844,3.0
0.3372549,0.5058824,0.8117647,3.0
0.34509805,0.5176471,0.827451,3.0
0.3529412,0.5294118,0.84313726,3.0
0.36078432,0.5411765,0.85882354,3.0
0.36862746,0.5529412,0.8745098,3.0
0.3764706,0.5647059,0.8901961,3.0
0.13725491,0.2627451,0.07058824,3.0
0.16470589,0.2784314,0.08235294,3.0
0.19215687,0.29411766,0.09411765,3.0
0.21960784,0.30980393,0.105882354,3.0
0.24705882,0.3254902,0.11764706,3.0
0.27450982,0.34117648,0.12941177,3.0
0.3019608,0.35686275,0.14117648,3.0
0.32941177,0.37254903,0.15294118,3.0
0.35686275,0.3882353,0.16470589,3.0
0.38431373,0.40392157,0.1764706,3.0
0.4117647,0.41960785,0.1882353,3.0
0.4392157,0.43529412,0.2,3.0
0.46666667,0.4509804,0.21176471,3.0
0.49411765,0.46666667,0.22352941,3.0
0.6039216,0.5294118,0.27058825,3.0
0.65882355,0.56078434,0.29411766,3.0
0.42352942,0.34901962,0.1764706,3.0
0.39215687,0.32156864,0.16078432,3.0
0.32941177,0.26666668,0.12941177,3.0
0.29803923,0.23921569,0.11372549,3.0
0.26666668,0.21176471,0.09803922,3.0
0.6117647,0.5137255,0.27058825,3.0
0.5803922,0.4862745,0.25490198,3.0
0.54901963,0.45882353,0.23921569,3.0
0.5176471,0.43137255,0.22352941,3.0
0.4862745,0.40392157,0.20784314,3.0
0.45490196,0.3764706,0.19215687,3.0
0.42352942,0.34901962,0.1764706,3.0
0.39215687,0.32156864,0.16078432,3.0
0.36078432,0.29411766,0.14509805,3.0
0.32941177,0.26666668,0.12941177,3.0
0.29803923,0.23921569,0.11372549,3.0
0.26666668,0.21176471,0.09803922,3.0
0.23529412,0.18431373,0.08235294,3.0
0.20392157,0.15686275,0.06666667,3.0
0.17254902,0.12941177,0.050980393,3.0
0.14117648,0.101960786,0.03529412,3.0
0.10980392,0.07450981,0.019607844,3.0
1.0,1.0,1.0,3.0
