r,g,b,a
0.15686275,0.15686275,0.15686275,3.0
0.15686275,0.15686275,0.15686275,3.0
0.15686275,0.15686275,0.15686275,3.0
0.15686275,0.15686275,0.15686275,3.0
0.15686275,0.15686275,0.15686275,3.0
0.18039216,0.18039216,0.18039216,3.0
0.1882353,0.1882353,0.1882353,3.0
0.19607843,0.19607843,0.19607843,3.0
0.20392157,0.20392157,0.20392157,3.0
0.21176471,0.21176471,0.21176471,3.0
0.21960784,0.21960784,0.21960784,3.0
0.22745098,0.22745098,0.22745098,3.0
0.23529412,0.23529412,0.23529412,3.0
0.24313726,0.24313726,0.24313726,3.0
0.2509804,0.2509804,0.2509804,3.0
0.25882354,0.25882354,0.25882354,3.0
0.26666668,0.26666668,0.26666668,3.0
0.27450982,0.27450982,0.27450982,3.0
0.28235295,0.28235295,0.28235295,3.0
0.2901961,0.2901961,0.2901961,3.0
0.29803923,0.29803923,0.29803923,3.0
0.30588236,0.30588236,0.30588236,3.0
0.3137255,0.3137255,0.3137255,3.0
0.32156864,0.32156864,0.32156864,3.0
0.32941177,0.32941177,0.32941177,3.0
0.3372549,0.3372549,0.3372549,3.0
0.34509805,0.34509805,0.34509805,3.0
0.3529412,0.3529412,0.3529412,3.0
0.36078432,0.36078432,0.36078432,3.0
0.36862746,0.36862746,0.36862746,3.0
0.3764706,0.3764706,0.3764706,3.0
0.38431373,0.38431373,0.38431373,3.0
0.39215687,0.39215687,0.39215687,3.0
0.4,0.4,0.4,3.0
0.40784314,0.40784314,0.40784314,3.0
0.41568628,0.41568628,0.41568628,3.0
0.42352942,0.42352942,0.42352942,3.0
0.43137255,0.43137255,0.43137255,3.0
0.4392157,0.4392157,0.4392157,3.0
0.44705883,0.44705883,0.44705883,3.0
0.45490196,0.45490196,0.45490196,3.0
0.4627451,0.4627451,0.4627451,3.0
0.47058824,0.47058824,0.47058824,3.0
0.47843137,0.47843137,0.47843137,3.0
0.4862745,0.4862745,0.4862745,3.0
0.49411765,0.49411765,0.49411765,3.0
0.5019608,0.5019608,0.5019608,3.0
0.50980395,0.50980395,0.50980395,3.0
0.5176471,0.5176471,0.5176471,3.0
0.5254902,0.5254902,0.5254902,3.0
0.53333336,0.53333336,0.53333336,3.0
0.5411765,0.5411765,0.5411765,3.0
0.54901963,0.54901963,0.54901963,3.0
0.5568628,0.5568628,0.5568628,3.0
0.5647059,0.5647059,0.5647059,3.0
0.57254905,0.57254905,0.57254905,3.0
0.5803922,0.5803922,0.5803922,3.0
0.5882353,0.5882353,0.5882353,3.0
0.59607846,0.59607846,0.59607846,3.0
0.6039216,0.6039216,0.6039216,3.0
0.6117647,0.6117647,0.6117647,3.0
0.61960787,0.61960787,0.61960787,3.0
0.627451,0.627451,0.627451,3.0
0.63529414,0.63529414,0.63529414,3.0
0.6431373,0.6431373,0.6431373,3.0
0.6509804,0.6509804,0.6509804,3.0
0.65882355,0.65882355,0.65882355,3.0
0.6666667,0.6666667,0.6666667,3.0
0.6745098,0.6745098,0.6745098,3.0
0.68235296,0.68235296,0.68235296,3.0
0.6901961,0.6901961,0.6901961,3.0
0.69803923,0.69803923,0.69803923,3.0
0.7058824,0.7058824,0.7058824,3.0
0.7137255,0.7137255,0.7137255,3.0
0.72156864,0.72156864,0.72156864,3.0
0.7294118,0.7294118,0.7294118,3.0
0.7372549,0.7372549,0.7372549,3.0
0.74509805,0.74509805,0.74509805,3.0
0.7529412,0.7529412,0.7529412,3.0
0.7607843,0.7607843,0.7607843,3.0
0.76862746,0.76862746,0.76862746,3.0
0.7764706,0.7764706,0.7764706,3.0
0.78431374,0.78431374,0.78431374,3.0
0.7921569,0.7921569,0.7921569,3.0
0.8,0.8,0.8,3.0
0.80784315,0.80784315,0.80784315,3.0
0.8156863,0.8156863,0.8156863,3.0
0.8235294,0.8235294,0.8235294,3.0
0.83137256,0.83137256,0.83137256,3.0
0.8392157,0.8392157,0.8392157,3.0
0.84705883,0.84705883,0.84705883,3.0
0.85490197,0.85490197,0.85490197,3.0
0.8627451,0.8627451,0.8627451,3.0
0.87058824,0.87058824,0.87058824,3.0
