r,g,b,a
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.09803922,0.09803922,0.09803922,1.0
0.12156863,0.12156863,0.12156863,1.0
0.14509805,0.14509805,0.14509805,1.0
0.16862746,0.16862746,0.16862746,1.0
0.19215687,0.19215687,0.19215687,1.0
0.21568628,0.21568628,0.21568628,1.0
0.23921569,0.23921569,0.23921569,1.0
0.2627451,0.2627451,0.2627451,1.0
0.28627452,0.28627452,0.28627452,1.0
0.30980393,0.30980393,0.30980393,1.0
0.33333334,0.33333334,0.33333334,1.0
0.35686275,0.35686275,0.35686275,1.0
0.38039216,0.38039216,0.38039216,1.0
0.40392157,0.40392157,0.40392157,1.0
0.42745098,0.42745098,0.42745098,1.0
0.4509804,0.4509804,0.4509804,1.0
0.4745098,0.4745098,0.4745098,1.0
0.49803922,0.49803922,0.49803922,1.0
0.52156866,0.52156866,0.52156866,1.0
0.54509807,0.54509807,0.54509807,1.0
0.5686275,0.5686275,0.5686275,1.0
0.5921569,0.5921569,0.5921569,1.0
0.6156863,0.6156863,0.6156863,1.0
0.6392157,0.6392157,0.6392157,1.0
0.6627451,0.6627451,0.6627451,1.0
0.6862745,0.6862745,0.6862745,1.0
0.70980394,0.70980394,0.70980394,1.0
0.73333335,0.73333335,0.73333335,1.0
0.75686276,0.75686276,0.75686276,1.0
0.78039217,0.78039217,0.78039217,1.0
0.8039216,0.8039216,0.8039216,1.0
0.827451,0.827451,0.827451,1.0
0.84313726,0.84313726,0.84313726,1.0
0.85882354,0.85882354,0.85882354,1.0
0.8745098,0.8745098,0.8745098,1.0
0.8901961,0.8901961,0.8901961,1.0
0.90588236,0.90588236,0.90588236,1.0
0.92156863,0.92156863,0.92156863,1.0
0.9372549,0.9372549,0.9372549,1.0
0.9529412,0.9529412,0.9529412,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
