r,g,b,a
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.09803922,0.09803922,0.09803922,3.0
0.12156863,0.12156863,0.12156863,3.0
0.14509805,0.14509805,0.14509805,3.0
0.16862746,0.16862746,0.16862746,3.0
0.19215687,0.19215687,0.19215687,3.0
0.21568628,0.21568628,0.21568628,3.0
0.23921569,0.23921569,0.23921569,3.0
0.2627451,0.2627451,0.2627451,3.0
0.28627452,0.28627452,0.28627452,3.0
0.30980393,0.30980393,0.30980393,3.0
0.33333334,0.33333334,0.33333334,3.0
0.35686275,0.35686275,0.35686275,3.0
0.38039216,0.38039216,0.38039216,3.0
0.40392157,0.40392157,0.40392157,3.0
0.42745098,0.42745098,0.42745098,3.0
0.4509804,0.4509804,0.4509804,3.0
0.4745098,0.4745098,0.4745098,3.0
0.49803922,0.49803922,0.49803922,3.0
0.52156866,0.52156866,0.52156866,3.0
0.54509807,0.54509807,0.54509807,3.0
0.5686275,0.5686275,0.5686275,3.0
0.5921569,0.5921569,0.5921569,3.0
0.6156863,0.6156863,0.6156863,3.0
0.6392157,0.6392157,0.6392157,3.0
0.6627451,0.6627451,0.6627451,3.0
0.6862745,0.6862745,0.6862745,3.0
0.70980394,0.70980394,0.70980394,3.0
0.73333335,0.73333335,0.73333335,3.0
0.75686276,0.75686276,0.75686276,3.0
0.78039217,0.78039217,0.78039217,3.0
0.8039216,0.8039216,0.8039216,3.0
0.827451,0.827451,0.827451,3.0
0.84313726,0.84313726,0.84313726,3.0
0.85882354,0.85882354,0.85882354,3.0
0.8745098,0.8745098,0.8745098,3.0
0.8901961,0.8901961,0.8901961,3.0
0.90588236,0.90588236,0.90588236,3.0
0.92156863,0.92156863,0.92156863,3.0
0.9372549,0.9372549,0.9372549,3.0
0.9529412,0.9529412,0.9529412,3.0
1.0,1.0,1.0,3.0
1.0,1.0,1.0,3.0
1.0,1.0,1.0,3.0
1.0,1.0,1.0,3.0
1.0,1.0,1.0,3.0
1.0,1.0,1.0,3.0
1.0,1.0,1.0,3.0
1.0,1.0,1.0,3.0
1.0,1.0,1.0,3.0
1.0,1.0,1.0,3.0
1.0,1.0,1.0,3.0
1.0,1.0,1.0,3.0
1.0,1.0,1.0,3.0
1.0,1.0,1.0,3.0
1.0,1.0,1.0,3.0
1.0,1.0,1.0,3.0
1.0,1.0,1.0,3.0
1.0,1.0,1.0,3.0
