r,g,b,a
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.29411766,0.0,0.0,1.0
0.34117648,0.0,0.0,1.0
0.39215687,0.0,0.0,1.0
0.44313726,0.0,0.0,1.0
0.49019608,0.0,0.0,1.0
0.5411765,0.0,0.0,1.0
0.5921569,0.0,0.0,1.0
0.6431373,0.0,0.0,1.0
0.6901961,0.0,0.0,1.0
0.7411765,0.0,0.0,1.0
0.7921569,0.0,0.0,1.0
0.8392157,0.0,0.0,1.0
0.8901961,0.0,0.0,1.0
0.9411765,0.0,0.0,1.0
0.99215686,0.0,0.0,1.0
1.0,0.29411766,0.29411766,1.0
0.9372549,0.2784314,0.2784314,1.0
0.8745098,0.2627451,0.2627451,1.0
0.8117647,0.24705882,0.24705882,1.0
0.7490196,0.23137255,0.23137255,1.0
0.6901961,0.21568628,0.21568628,1.0
0.627451,0.2,0.2,1.0
0.5647059,0.18431373,0.18431373,1.0
0.5019608,0.16862746,0.16862746,1.0
0.4392157,0.15294118,0.15294118,1.0
0.38039216,0.13725491,0.13725491,1.0
0.31764707,0.12156863,0.12156863,1.0
0.25490198,0.105882354,0.105882354,1.0
0.19215687,0.09019608,0.09019608,1.0
0.13333334,0.07450981,0.07450981,1.0
0.13725491,0.13725491,0.13725491,1.0
0.16470589,0.16470589,0.16470589,1.0
0.19607843,0.19607843,0.19607843,1.0
0.22352941,0.22352941,0.22352941,1.0
0.25490198,0.25490198,0.25490198,1.0
0.28235295,0.28235295,0.28235295,1.0
0.3137255,0.3137255,0.3137255,1.0
0.34509805,0.34509805,0.34509805,1.0
0.37254903,0.37254903,0.37254903,1.0
0.40392157,0.40392157,0.40392157,1.0
0.43137255,0.43137255,0.43137255,1.0
0.4627451,0.4627451,0.4627451,1.0
0.49019608,0.49019608,0.49019608,1.0
0.52156866,0.52156866,0.52156866,1.0
0.5529412,0.5529412,0.5529412,1.0
0.5803922,0.5803922,0.5803922,1.0
0.6117647,0.6117647,0.6117647,1.0
0.6392157,0.6392157,0.6392157,1.0
0.67058825,0.67058825,0.67058825,1.0
0.7019608,0.7019608,0.7019608,1.0
0.7294118,0.7294118,0.7294118,1.0
0.7607843,0.7607843,0.7607843,1.0
0.7882353,0.7882353,0.7882353,1.0
0.81960785,0.81960785,0.81960785,1.0
0.84705883,0.84705883,0.84705883,1.0
1.0,1.0,1.0,1.0
0.83137256,1.0,1.0,1.0
0.6666667,1.0,1.0,1.0
0.49803922,1.0,1.0,1.0
0.33333334,1.0,1.0,1.0
0.16470589,1.0,1.0,1.0
0.0,1.0,1.0,1.0
0.0,1.0,1.0,1.0
0.0,0.9137255,1.0,1.0
0.0,0.83137256,1.0,1.0
0.0,0.7490196,1.0,1.0
0.0,0.6666667,1.0,1.0
0.0,0.5803922,1.0,1.0
0.0,0.49803922,1.0,1.0
0.0,0.41568628,1.0,1.0
0.0,0.33333334,1.0,1.0
0.0,0.24705882,1.0,1.0
0.0,0.16470589,1.0,1.0
0.0,0.08235294,1.0,1.0
0.0,0.0,1.0,1.0
0.0,0.0,1.0,1.0
0.0,0.0,0.972549,1.0
0.0,0.0,0.9490196,1.0
0.0,0.0,0.9254902,1.0
0.0,0.0,0.9019608,1.0
0.0,0.0,0.8784314,1.0
0.0,0.0,0.85490197,1.0
0.0,0.0,0.83137256,1.0
0.0,0.0,0.80784315,1.0
0.0,0.0,0.78431374,1.0
0.0,0.0,0.7607843,1.0
0.0,0.0,0.7372549,1.0
0.0,0.0,0.7137255,1.0
0.0,0.0,0.6901961,1.0
0.0,0.0,0.6627451,1.0
0.0,0.0,0.6392157,1.0
0.0,0.0,0.6156863,1.0
0.0,0.0,0.5921569,1.0
0.0,0.0,0.5686275,1.0
0.0,0.0,0.54509807,1.0
0.0,0.0,0.52156866,1.0
0.0,0.0,0.49803922,1.0
0.0,0.0,0.4745098,1.0
0.0,0.0,0.4509804,1.0
0.0,0.0,0.42745098,1.0
0.0,0.0,0.40392157,1.0
0.0,0.0,0.38039216,1.0
0.0,0.0,0.35686275,1.0
0.0,0.0,0.32941177,1.0
0.0,0.0,0.30588236,1.0
0.0,0.0,0.28235295,1.0
0.0,0.0,0.25882354,1.0
0.0,0.0,0.23529412,1.0
0.0,0.0,0.21176471,1.0
0.0,0.0,0.1882353,1.0
0.0,0.0,0.16470589,1.0
0.0,0.0,0.14117648,1.0
0.0,0.0,0.0,1.0
