r,g,b,a
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.047058824,0.047058824,0.047058824,1.0
0.09411765,0.09411765,0.09411765,1.0
0.14117648,0.14117648,0.14117648,1.0
0.1882353,0.1882353,0.1882353,1.0
0.23529412,0.23529412,0.23529412,1.0
0.28235295,0.28235295,0.28235295,1.0
0.32941177,0.32941177,0.32941177,1.0
0.3764706,0.3764706,0.3764706,1.0
0.42352942,0.42352942,0.42352942,1.0
0.47058824,0.47058824,0.47058824,1.0
0.5176471,0.5176471,0.5176471,1.0
0.5647059,0.5647059,0.5647059,1.0
0.6117647,0.6117647,0.6117647,1.0
0.65882355,0.65882355,0.65882355,1.0
0.7058824,0.7058824,0.7058824,1.0
0.7529412,0.7529412,0.7529412,1.0
0.8,0.8,0.8,1.0
0.84705883,0.84705883,0.84705883,1.0
0.89411765,0.89411765,0.89411765,1.0
0.9411765,0.9411765,0.9411765,1.0
0.9882353,0.9882353,0.9882353,1.0
0.0,0.43137255,0.0,1.0
0.0,0.50980395,0.0,1.0
0.0,0.5882353,0.0,1.0
0.0,0.6666667,0.0,1.0
0.19607843,0.0,0.0,1.0
0.3137255,0.0,0.0,1.0
0.43137255,0.0,0.0,1.0
0.54901963,0.0,0.0,1.0
0.6666667,0.0,0.0,1.0
0.78431374,0.0,0.0,1.0
0.9019608,0.0,0.0,1.0
1.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
