r,g,b,a
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.78431374,0.9411765,0.39215687,1.0
0.78431374,0.8627451,0.3529412,1.0
0.78431374,0.78431374,0.3137255,1.0
0.78431374,0.7058824,0.27450982,1.0
0.78431374,0.627451,0.23529412,1.0
0.78431374,0.54901963,0.19607843,1.0
0.78431374,0.47058824,0.15686275,1.0
0.78431374,0.39215687,0.11764706,1.0
0.78431374,0.3137255,0.078431375,1.0
0.7058824,0.23529412,0.039215688,1.0
0.078431375,0.23529412,0.15686275,1.0
0.11764706,0.27450982,0.19607843,1.0
0.15686275,0.3137255,0.23529412,1.0
0.19607843,0.3529412,0.27450982,1.0
0.23529412,0.39215687,0.3137255,1.0
0.39215687,0.54901963,0.3529412,1.0
0.43137255,0.5882353,0.39215687,1.0
0.47058824,0.627451,0.43137255,1.0
0.50980395,0.6666667,0.47058824,1.0
0.54901963,0.7058824,0.50980395,1.0
0.5882353,0.74509805,0.54901963,1.0
0.627451,0.78431374,0.5882353,1.0
0.6666667,0.8235294,0.627451,1.0
0.7058824,0.8627451,0.6666667,1.0
0.74509805,0.9019608,0.7058824,1.0
0.78431374,0.9411765,0.74509805,1.0
0.8235294,0.98039216,0.78431374,1.0
0.8627451,1.0,0.8235294,1.0
0.9019608,1.0,0.8627451,1.0
0.9411765,1.0,0.9019608,1.0
0.98039216,1.0,0.9411765,1.0
0.78431374,0.78431374,0.9019608,1.0
0.8039216,0.8039216,0.92156863,1.0
0.8235294,0.8235294,0.9411765,1.0
0.84313726,0.84313726,0.9607843,1.0
0.8627451,0.8627451,0.98039216,1.0
0.88235295,0.88235295,1.0,1.0
0.9019608,0.9019608,1.0,1.0
0.92156863,0.92156863,1.0,1.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
