r,g,b,a
0.0,0.0,0.0,1.0
0.007843138,0.007843138,0.007843138,1.0
0.015686275,0.015686275,0.015686275,1.0
0.023529412,0.023529412,0.023529412,1.0
0.02745098,0.02745098,0.02745098,1.0
0.03137255,0.03137255,0.03137255,1.0
0.039215688,0.039215688,0.039215688,1.0
0.047058824,0.047058824,0.047058824,1.0
0.05882353,0.05882353,0.05882353,1.0
0.06666667,0.06666667,0.06666667,1.0
0.4627451,0.4627451,0.4627451,1.0
0.078431375,0.078431375,0.078431375,1.0
0.08627451,0.08627451,0.08627451,1.0
0.09803922,0.09803922,0.09803922,1.0
0.101960786,0.101960786,0.101960786,1.0
0.10980392,0.10980392,0.10980392,1.0
0.11764706,0.11764706,0.11764706,1.0
0.12941177,0.12941177,0.12941177,1.0
0.13333334,0.13333334,0.09411765,1.0
0.13725491,0.13725491,0.13725491,1.0
0.14901961,0.14901961,0.14901961,1.0
0.15686275,0.15686275,0.15686275,1.0
0.16470589,0.16470589,0.16470589,1.0
0.16862746,0.16862746,0.16862746,1.0
0.1764706,0.1764706,0.1764706,1.0
0.18039216,0.18039216,0.18039216,1.0
0.1882353,0.1882353,0.1882353,1.0
0.19607843,0.19607843,0.19607843,1.0
0.2,0.2,0.2,1.0
0.20784314,0.20784314,0.20784314,1.0
0.21176471,0.21176471,0.21176471,1.0
0.21960784,0.21960784,0.21960784,1.0
0.22745098,0.22745098,0.22745098,1.0
0.23921569,0.23921569,0.23921569,1.0
0.24705882,0.24705882,0.24705882,1.0
0.2509804,0.2509804,0.2509804,1.0
0.25882354,0.25882354,0.25882354,1.0
0.26666668,0.26666668,0.26666668,1.0
0.2784314,0.2784314,0.2784314,1.0
0.28627452,0.28627452,0.28627452,1.0
0.2901961,0.2901961,0.2901961,1.0
0.29803923,0.29803923,0.29803923,1.0
0.30980393,0.30980393,0.30980393,1.0
0.31764707,0.31764707,0.31764707,1.0
0.32941177,0.32941177,0.32941177,1.0
0.3372549,0.3372549,0.3372549,1.0
0.34509805,0.34509805,0.34509805,1.0
0.34901962,0.34901962,0.34901962,1.0
0.35686275,0.35686275,0.35686275,1.0
0.36862746,0.36862746,0.36862746,1.0
0.3764706,0.3764706,0.3764706,1.0
0.3882353,0.3882353,0.3882353,1.0
0.39215687,0.39215687,0.39215687,1.0
0.4,0.4,0.4,1.0
0.40784314,0.40784314,0.40784314,1.0
0.41960785,0.41960785,0.41960785,1.0
0.42745098,0.42745098,0.42745098,1.0
0.4392157,0.4392157,0.4392157,1.0
0.44313726,0.44313726,0.44313726,1.0
0.44705883,0.44705883,0.44705883,1.0
0.45882353,0.45882353,0.45882353,1.0
0.46666667,0.46666667,0.46666667,1.0
0.47058824,0.47058824,0.47058824,1.0
0.47843137,0.47843137,0.47843137,1.0
0.4862745,0.4862745,0.4862745,1.0
0.49803922,0.49803922,0.49803922,1.0
0.5019608,0.5019608,0.5019608,1.0
0.50980395,0.50980395,0.50980395,1.0
0.5176471,0.5176471,0.5176471,1.0
0.5294118,0.5294118,0.5294118,1.0
0.53333336,0.53333336,0.53333336,1.0
0.5411765,0.5411765,0.5411765,1.0
0.54901963,0.54901963,0.54901963,1.0
0.5529412,0.5529412,0.5529412,1.0
0.5568628,0.5568628,0.5568628,1.0
0.5686275,0.5686275,0.5686275,1.0
0.5764706,0.5764706,0.5764706,1.0
0.5882353,0.5882353,0.5882353,1.0
0.6,0.6,0.6,1.0
0.60784316,0.60784316,0.60784316,1.0
0.61960787,0.61960787,0.61960787,1.0
0.627451,0.627451,0.627451,1.0
0.63529414,0.63529414,0.63529414,1.0
0.6392157,0.6392157,0.6392157,1.0
0.64705884,0.64705884,0.64705884,1.0
0.65882355,0.65882355,0.65882355,1.0
0.6666667,0.6666667,0.6666667,1.0
0.6784314,0.6784314,0.6784314,1.0
0.6862745,0.6862745,0.6862745,1.0
0.69803923,0.69803923,0.69803923,1.0
0.7058824,0.7058824,0.7058824,1.0
0.70980394,0.70980394,0.70980394,1.0
0.7176471,0.7176471,0.7176471,1.0
0.72156864,0.72156864,0.72156864,1.0
0.7294118,0.7294118,0.7294118,1.0
0.7372549,0.7372549,0.7372549,1.0
0.74509805,0.74509805,0.74509805,1.0
0.7490196,0.7490196,0.7490196,1.0
0.75686276,0.75686276,0.75686276,1.0
0.76862746,0.76862746,0.76862746,1.0
0.7882353,0.7882353,0.7882353,1.0
0.7921569,0.7921569,0.7921569,1.0
0.8,0.8,0.8,1.0
0.80784315,0.80784315,0.80784315,1.0
0.8156863,0.8156863,0.8156863,1.0
0.81960785,0.81960785,0.81960785,1.0
0.8235294,0.8235294,0.8235294,1.0
0.827451,0.827451,0.827451,1.0
0.8392157,0.8392157,0.8392157,1.0
0.84705883,0.84705883,0.84705883,1.0
0.85882354,0.85882354,0.85882354,1.0
0.8627451,0.8627451,0.8627451,1.0
0.8666667,0.8666667,0.8666667,1.0
0.8784314,0.8784314,0.8784314,1.0
0.8862745,0.8862745,0.8862745,1.0
0.9098039,0.9098039,0.9098039,1.0
0.91764706,0.91764706,0.91764706,1.0
0.92941177,0.92941177,0.92941177,1.0
0.9372549,0.9372549,0.9372549,1.0
0.9490196,0.9490196,0.9490196,1.0
0.95686275,0.95686275,0.95686275,1.0
0.96862745,0.96862745,0.96862745,1.0
0.972549,0.972549,0.972549,1.0
0.9764706,0.9764706,0.9764706,1.0
0.9882353,0.9882353,0.9882353,1.0
0.99607843,0.99607843,0.99607843,1.0
1.0,1.0,1.0,1.0
0.0,0.0,0.0,1.0
