r,g,b,a
0.9490196,0.45882353,0.0,1.0
0.8980392,0.42352942,0.0,1.0
0.84705883,0.3882353,0.0,1.0
0.79607844,0.3529412,0.0,1.0
0.74509805,0.31764707,0.0,1.0
0.69411767,0.28235295,0.0,1.0
0.64705884,0.24705882,0.0,1.0
0.59607846,0.21176471,0.0,1.0
0.54509807,0.1764706,0.0,1.0
0.49411765,0.14117648,0.0,1.0
0.44313726,0.105882354,0.0,1.0
0.39215687,0.07058824,0.0,1.0
0.34117648,0.03529412,0.0,1.0
0.29411766,0.0,0.0,1.0
0.29411766,0.0,0.0,1.0
0.34117648,0.0,0.0,1.0
0.39215687,0.0,0.0,1.0
0.44313726,0.0,0.0,1.0
0.49019608,0.0,0.0,1.0
0.5411765,0.0,0.0,1.0
0.5921569,0.0,0.0,1.0
0.6431373,0.0,0.0,1.0
0.6901961,0.0,0.0,1.0
0.7411765,0.0,0.0,1.0
0.7921569,0.0,0.0,1.0
0.8392157,0.0,0.0,1.0
0.8901961,0.0,0.0,1.0
0.9411765,0.0,0.0,1.0
0.99215686,0.0,0.0,1.0
1.0,0.29411766,0.29411766,1.0
0.9372549,0.2784314,0.2784314,1.0
0.8745098,0.2627451,0.2627451,1.0
0.8117647,0.24705882,0.24705882,1.0
0.7490196,0.23137255,0.23137255,1.0
0.6901961,0.21568628,0.21568628,1.0
0.627451,0.2,0.2,1.0
0.5647059,0.18431373,0.18431373,1.0
0.5019608,0.16862746,0.16862746,1.0
0.4392157,0.15294118,0.15294118,1.0
0.38039216,0.13725491,0.13725491,1.0
0.31764707,0.12156863,0.12156863,1.0
0.25490198,0.105882354,0.105882354,1.0
0.19215687,0.09019608,0.09019608,1.0
0.13333334,0.07450981,0.07450981,1.0
0.13725491,0.13725491,0.13725491,1.0
0.16470589,0.16470589,0.16470589,1.0
0.19607843,0.19607843,0.19607843,1.0
0.22352941,0.22352941,0.22352941,1.0
0.25490198,0.25490198,0.25490198,1.0
0.28235295,0.28235295,0.28235295,1.0
0.3137255,0.3137255,0.3137255,1.0
0.34509805,0.34509805,0.34509805,1.0
0.37254903,0.37254903,0.37254903,1.0
0.40392157,0.40392157,0.40392157,1.0
0.43137255,0.43137255,0.43137255,1.0
0.4627451,0.4627451,0.4627451,1.0
0.49411765,0.49411765,0.49411765,1.0
0.52156866,0.52156866,0.52156866,1.0
0.5529412,0.5529412,0.5529412,1.0
0.5803922,0.5803922,0.5803922,1.0
0.6117647,0.6117647,0.6117647,1.0
0.6392157,0.6392157,0.6392157,1.0
0.67058825,0.67058825,0.67058825,1.0
0.7019608,0.7019608,0.7019608,1.0
0.7294118,0.7294118,0.7294118,1.0
0.7607843,0.7607843,0.7607843,1.0
0.7882353,0.7882353,0.7882353,1.0
0.81960785,0.81960785,0.81960785,1.0
0.8509804,0.8509804,0.8509804,1.0
0.8784314,0.8784314,0.8784314,1.0
0.9098039,0.9098039,0.9098039,1.0
0.9372549,0.9372549,0.9372549,1.0
0.96862745,0.96862745,0.96862745,1.0
1.0,1.0,1.0,1.0
0.78431374,0.78431374,1.0,1.0
0.7490196,0.7490196,0.9607843,1.0
0.7137255,0.7137255,0.9254902,1.0
0.6784314,0.6784314,0.8901961,1.0
0.6431373,0.6431373,0.8509804,1.0
0.60784316,0.60784316,0.8156863,1.0
0.57254905,0.57254905,0.78039217,1.0
0.5372549,0.5372549,0.7411765,1.0
0.5019608,0.5019608,0.7058824,1.0
0.46666667,0.46666667,0.67058825,1.0
1.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,0.29411766,1.0,1.0
0.9529412,0.26666668,0.9529412,1.0
0.9098039,0.24313726,0.9098039,1.0
0.8666667,0.21568628,0.8666667,1.0
0.8235294,0.19215687,0.8235294,1.0
0.78039217,0.16470589,0.78039217,1.0
0.73333335,0.14117648,0.73333335,1.0
0.6901961,0.11372549,0.6901961,1.0
0.0,0.0,0.0,1.0
