r,g,b,a
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.34509805,0.0,0.0,3.0
0.44705883,0.0,0.0,3.0
0.54901963,0.0,0.0,3.0
0.6509804,0.0,0.0,3.0
0.7529412,0.0,0.0,3.0
0.84705883,0.0,0.0,3.0
0.9411765,0.0,0.0,3.0
1.0,0.29411766,0.29411766,3.0
0.88235295,0.2627451,0.2627451,3.0
0.7647059,0.23137255,0.23137255,3.0
0.64705884,0.2,0.2,3.0
0.5294118,0.16862746,0.16862746,3.0
0.4117647,0.13725491,0.13725491,3.0
0.29411766,0.105882354,0.105882354,3.0
0.1764706,0.07450981,0.07450981,3.0
0.17254902,0.17254902,0.17254902,3.0
0.24313726,0.24313726,0.24313726,3.0
0.3137255,0.3137255,0.3137255,3.0
0.38431373,0.38431373,0.38431373,3.0
0.45490196,0.45490196,0.45490196,3.0
0.5254902,0.5254902,0.5254902,3.0
0.59607846,0.59607846,0.59607846,3.0
0.6666667,0.6666667,0.6666667,3.0
0.7372549,0.7372549,0.7372549,3.0
0.80784315,0.80784315,0.80784315,3.0
0.8784314,0.8784314,0.8784314,3.0
0.9490196,0.9490196,0.9490196,3.0
1.0,1.0,1.0,3.0
0.67058825,1.0,1.0,3.0
0.34117648,1.0,1.0,3.0
0.011764706,1.0,1.0,3.0
0.0,0.91764706,1.0,3.0
0.0,0.7529412,1.0,3.0
0.0,0.5882353,1.0,3.0
0.0,0.42352942,1.0,3.0
0.0,0.25882354,1.0,3.0
0.0,0.09411765,1.0,3.0
0.0,0.0,0.9764706,3.0
0.0,0.0,0.9372549,3.0
0.0,0.0,0.8980392,3.0
0.0,0.0,0.85882354,3.0
0.0,0.0,0.81960785,3.0
0.0,0.0,0.78039217,3.0
0.0,0.0,0.7411765,3.0
0.0,0.0,0.7019608,3.0
0.0,0.0,0.6627451,3.0
0.0,0.0,0.62352943,3.0
0.0,0.0,0.58431375,3.0
0.0,0.0,0.54509807,3.0
0.0,0.0,0.5058824,3.0
0.0,0.0,0.46666667,3.0
0.0,0.0,0.42745098,3.0
0.0,0.0,0.3882353,3.0
0.0,0.0,0.34901962,3.0
0.0,0.0,0.30980393,3.0
0.0,0.0,0.27058825,3.0
0.0,0.0,0.23137255,3.0
0.0,0.0,0.19215687,3.0
0.0,0.0,0.15294118,3.0
