r,g,b,a
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.3137255,0.0,0.0,3.0
0.3529412,0.0,0.0,3.0
0.39215687,0.0,0.0,3.0
0.43137255,0.0,0.0,3.0
0.47058824,0.0,0.0,3.0
0.50980395,0.0,0.0,3.0
0.54901963,0.0,0.0,3.0
0.5803922,0.0,0.0,3.0
0.6117647,0.0,0.0,3.0
0.6431373,0.0,0.0,3.0
0.6745098,0.0,0.0,3.0
0.7058824,0.0,0.0,3.0
0.7372549,0.0,0.0,3.0
0.76862746,0.0,0.0,3.0
0.8,0.0,0.0,3.0
0.83137256,0.0,0.0,3.0
0.8627451,0.0,0.0,3.0
0.89411765,0.0,0.0,3.0
0.9254902,0.0,0.0,3.0
0.95686275,0.0,0.0,3.0
0.9882353,0.0,0.0,3.0
0.9764706,0.2901961,0.2901961,3.0
0.92941177,0.28235295,0.28235295,3.0
0.88235295,0.27450982,0.27450982,3.0
0.8352941,0.26666668,0.26666668,3.0
0.7882353,0.25882354,0.25882354,3.0
0.7411765,0.2509804,0.2509804,3.0
0.69411767,0.24313726,0.24313726,3.0
0.64705884,0.23529412,0.23529412,3.0
0.6,0.22745098,0.22745098,3.0
0.5529412,0.21960784,0.21960784,3.0
0.5058824,0.21176471,0.21176471,3.0
0.45882353,0.20392157,0.20392157,3.0
0.4117647,0.19607843,0.19607843,3.0
0.3647059,0.1882353,0.1882353,3.0
0.31764707,0.18039216,0.18039216,3.0
0.27058825,0.17254902,0.17254902,3.0
0.22352941,0.16470589,0.16470589,3.0
0.1764706,0.15686275,0.15686275,3.0
0.15686275,0.15686275,0.15686275,3.0
0.19607843,0.19607843,0.19607843,3.0
0.23529412,0.23529412,0.23529412,3.0
0.27450982,0.27450982,0.27450982,3.0
0.3137255,0.3137255,0.3137255,3.0
0.3529412,0.3529412,0.3529412,3.0
0.39215687,0.39215687,0.39215687,3.0
0.43137255,0.43137255,0.43137255,3.0
0.4627451,0.4627451,0.4627451,3.0
0.49411765,0.49411765,0.49411765,3.0
0.5254902,0.5254902,0.5254902,3.0
0.5568628,0.5568628,0.5568628,3.0
0.5882353,0.5882353,0.5882353,3.0
0.61960787,0.61960787,0.61960787,3.0
0.6509804,0.6509804,0.6509804,3.0
0.68235296,0.68235296,0.68235296,3.0
0.7137255,0.7137255,0.7137255,3.0
0.74509805,0.74509805,0.74509805,3.0
0.7764706,0.7764706,0.7764706,3.0
0.80784315,0.80784315,0.80784315,3.0
0.8392157,0.8392157,0.8392157,3.0
0.87058824,0.87058824,0.87058824,3.0
0.9019608,0.9019608,0.9019608,3.0
0.93333334,0.93333334,0.93333334,3.0
0.9647059,0.9647059,0.9647059,3.0
0.99607843,0.99607843,0.99607843,3.0
0.81960785,1.0,1.0,3.0
0.6156863,1.0,1.0,3.0
0.4117647,1.0,1.0,3.0
0.20784314,1.0,1.0,3.0
0.003921569,1.0,1.0,3.0
0.0,0.95686275,1.0,3.0
0.0,0.87058824,1.0,3.0
0.0,0.78431374,1.0,3.0
0.0,0.69803923,1.0,3.0
0.0,0.6117647,1.0,3.0
0.0,0.5254902,1.0,3.0
0.0,0.4392157,1.0,3.0
0.0,0.3529412,1.0,3.0
0.0,0.26666668,1.0,3.0
0.0,0.18039216,1.0,3.0
0.0,0.09411765,1.0,3.0
0.0,0.007843138,1.0,3.0
0.0,0.0,0.96862745,3.0
0.0,0.0,0.9529412,3.0
0.0,0.0,0.9372549,3.0
0.0,0.0,0.92156863,3.0
0.0,0.0,0.90588236,3.0
0.0,0.0,0.8901961,3.0
0.0,0.0,0.8745098,3.0
0.0,0.0,0.85882354,3.0
0.0,0.0,0.84313726,3.0
0.0,0.0,0.827451,3.0
0.0,0.0,0.8117647,3.0
0.0,0.0,0.79607844,3.0
0.0,0.0,0.78039217,3.0
0.0,0.0,0.7647059,3.0
0.0,0.0,0.7490196,3.0
0.0,0.0,0.73333335,3.0
0.0,0.0,0.7176471,3.0
0.0,0.0,0.7019608,3.0
0.0,0.0,0.6862745,3.0
0.0,0.0,0.67058825,3.0
0.0,0.0,0.654902,3.0
0.0,0.0,0.6392157,3.0
0.0,0.0,0.62352943,3.0
0.0,0.0,0.60784316,3.0
0.0,0.0,0.5921569,3.0
0.0,0.0,0.5764706,3.0
0.0,0.0,0.56078434,3.0
0.0,0.0,0.54509807,3.0
0.0,0.0,0.5294118,3.0
0.0,0.0,0.5137255,3.0
0.0,0.0,0.49803922,3.0
0.0,0.0,0.48235294,3.0
0.0,0.0,0.46666667,3.0
0.0,0.0,0.4509804,3.0
0.0,0.0,0.43529412,3.0
0.0,0.0,0.41960785,3.0
0.0,0.0,0.40392157,3.0
0.0,0.0,0.3882353,3.0
0.0,0.0,0.37254903,3.0
0.0,0.0,0.35686275,3.0
0.0,0.0,0.34117648,3.0
0.0,0.0,0.3254902,3.0
0.0,0.0,0.30980393,3.0
